"deal_id","substage_name","first_timestamp","sales_deal_stream"
"98152","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"98475","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"98570","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"98575","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"98591","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"98609","SDR: Entered Backlog","2026-01-27 09:22:50.000","Scraping"
"98620","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"98640","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"98641","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98659","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98661","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98663","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98672","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98678","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98679","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98681","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98682","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98684","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98689","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98692","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98692","SM: Entered Lead Pool","2026-02-05 09:54:53.000","Scraping"
"98692","SM: Intro Call Scheduled","2026-02-09 09:01:40.000","Scraping"
"98692","SM: Intro Call Conducted","2026-02-09 09:10:36.000","Scraping"
"98696","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98697","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98710","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98715","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98721","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98831","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98833","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"98835","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"98837","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"99554","SDR: Entered Backlog","2026-01-27 09:22:52.000","M&A"
"99715","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"99716","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"99717","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"99718","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"99719","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"99722","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"99724","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"99734","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"99736","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"99737","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"99738","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"99740","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"99741","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"99744","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"100017","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100018","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100022","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100026","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100027","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100028","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100034","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"100037","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100040","SDR: Entered Backlog","2026-01-27 09:22:52.000","Scraping"
"100041","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100503","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100509","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100510","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100511","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100514","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100516","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100531","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100867","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100868","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100869","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100870","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100872","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100874","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100876","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100877","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100878","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100879","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100885","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100886","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100888","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"100889","SDR: Entered Backlog","2026-01-27 09:22:51.000","Scraping"
"169163","SM: Entered Lead Pool","2026-01-26 08:23:17.000","Scraping"
"169163","SM: Intro Call Scheduled","2026-01-29 12:34:17.000","Scraping"
"169163","SM: Intro Call Conducted","2026-02-04 12:29:13.000","Scraping"
"172606","SM: Intro Call Scheduled","2026-01-26 15:55:27.000","Scraping"
"172606","SM: Intro Call Conducted","2026-01-26 15:55:49.000","Scraping"
"280401","SM: Entered Lead Pool","2026-01-27 08:51:56.000","Scraping"
"280401","SM: Intro Call Scheduled","2026-01-29 15:53:23.000","Scraping"
